,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,10.668,0.0,74891.86033803232,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,0.0,,,,,0.0,0.0,sizing:main_route:climb
1,0.0,10668.0,250000.0,73094.45568991954,231.298488095132,128.75566260656646,0.78,2,0.5570343296540581,0.03365159515362605,43304.078981602084,43303.96879829695,0.769381817753135,True,1.6823311632168246e-05,0.0,0.0,sizing:main_route:climb
2,19857.45794460585,10668.0,4843000.0,59969.59340420412,231.298488095132,128.75566260656646,0.78,3,0.45701307912118655,0.028670121718380785,36893.740389930026,36893.740389930026,0.6554912594069888,True,1.697808419978057e-05,0.0,0.0,sizing:main_route:cruise
3,19857.45794460585,0.0,5093000.0,59070.049503141054,0.0,0.0,0.0,2,0.0,0.0,0.0,36893.740389930026,0.6554912594069888,True,1.697808419978057e-05,0.0,0.0,sizing:main_route:descent
4,19857.45794460585,0.0,5093000.0,59070.049503141054,0.0,0.0,0.0,2,0.0,0.0,0.0,36893.740389930026,0.6554912594069888,True,1.697808419978057e-05,0.0,0.0,sizing:global_reserve
5,19857.45794460585,0.0,5093000.0,55726.461795416086,0.0,0.0,0.0,2,0.0,0.0,0.0,36893.740389930026,0.6554912594069888,True,1.697808419978057e-05,0.0,0.0,sizing:global_reserve
