,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,10.668,0.0,44572.34576943642,79.3,79.2593976814894,0.23306096703307572,1,1.0415934009458854,0.07670371906315465,32188.76901581464,225421.98711693325,1.0,False,1.0007734418582006e-05,0.4420746585851099,0.0,op_mission:main_route:initial_climb
1,0.2,17.453155382047,14.335315358982466,44571.894576760584,79.32584015336062,79.2593976814894,0.2331547586958673,1,1.0415828572038948,0.0767028716997883,32188.413419189023,225274.84640647343,1.0,False,1.0007513504324566e-05,0.44174331850337983,0.0,op_mission:main_route:initial_climb
2,0.4,24.23576994341203,28.677550064683665,44571.443688547064,79.35168300238547,79.2593976814894,0.2332485673233399,1,1.0415723205767629,0.07670202492062309,32188.058067723796,225127.8232867662,1.0,False,1.0007292502581917e-05,0.4414122371642343,0.0,op_mission:main_route:initial_climb
3,0.6000000000000001,31.015843786519092,43.026702739823,44570.993104551446,79.37752854137791,79.2593976814894,0.23334239289527012,1,1.041561791058778,0.07670117872517489,32187.70296121584,224980.91760929502,1.0,False,1.0007071413318124e-05,0.44108141424541103,0.0,op_mission:main_route:initial_climb
4,0.8,37.79337701335941,57.382772008692044,44570.54282452961,79.40337676463415,79.2593976814894,0.23343623539140249,1,1.0415512686442356,0.07670033311296019,32187.348099462215,224834.12922591207,1.0,False,1.0006850236497563e-05,0.44075084942545684,0.0,op_mission:main_route:initial_climb
5,1.0,44.56836972549473,71.74575649714608,44570.09284823777,79.42922766644327,79.2593976814894,0.2335300947914494,1,1.0415407533274381,0.07669948808349608,32186.99348226029,224687.45798883706,1.0,False,1.0006628972084909e-05,0.44042054238372486,0.0,op_mission:main_route:initial_climb
6,1.2,51.3408220240606,86.11565483259567,44569.643175432415,79.45508124108724,79.2593976814894,0.2336239710750913,1,1.0415302451026962,0.07669864363630034,32186.639109407675,224540.90375065678,1.0,False,1.000640762004513e-05,0.440090492800374,0.0,op_mission:main_route:initial_climb
7,1.4,58.110734009769665,100.4924656439983,44569.19380587035,79.48093748284097,79.2593976814894,0.23371786422197666,1,1.041519743964325,0.07669779977089118,32186.284980702232,224394.46636432444,1.0,False,1.0006186180343493e-05,0.43976070035636694,0.0,op_mission:main_route:initial_climb
8,1.5999999999999999,64.87810578291501,114.87618756184997,44568.7447393087,79.5067963859722,79.2593976814894,0.2338117742117219,1,1.04150924990665,0.07669695648678769,32185.9310959421,224248.14568315874,1.0,False,1.0005964652945566e-05,0.4394311647334687,0.0,op_mission:main_route:initial_climb
9,1.7999999999999998,71.64293744337346,129.26681921817683,44568.29597550486,79.53265794474157,79.2593976814894,0.23390570102391134,1,1.0414987629240025,0.07669611378350942,32185.577454925664,224101.94156084355,1.0,False,1.000574303781721e-05,0.4391018856142457,0.0,op_mission:main_route:initial_climb
10,1.9999999999999998,78.40522909060891,143.66435924652683,44567.84751421655,79.55852215340276,79.2593976814894,0.23399964463809772,1,1.0414882830107195,0.07669527166057648,32185.224057451556,223955.8538514261,1.0,False,1.0005521334924598e-05,0.4387728626820616,0.0,op_mission:main_route:initial_climb
11,2.1999999999999997,85.16498082367568,158.0688062819614,44567.39935520179,79.5843890062023,79.2593976814894,0.23409360503380164,1,1.0414778101611468,0.07669443011750969,32184.870903318682,223809.8824093178,1.0,False,1.0005299544234176e-05,0.43844409562107955,0.0,op_mission:main_route:initial_climb
12,2.4,91.92219274122183,172.4801589610472,44566.9514982189,79.61025849737963,79.2593976814894,0.23418758219051186,1,1.0414673443696367,0.07669358915383047,32184.517992326204,223664.02708929245,1.0,False,1.000507766571272e-05,0.4381155841162581,0.0,op_mission:main_route:initial_climb
13,2.6,98.67686494149258,186.89841592184777,44566.50394302649,79.63613062116721,79.2593976814894,0.23428157608768524,1,1.041456885630548,0.07669274876901072,32184.165324252514,223518.28774648558,1.0,False,1.0004855699327267e-05,0.4377873278533978,0.0,op_mission:main_route:initial_climb
14,2.8000000000000003,105.4289975223343,201.32357580391493,44566.05668938348,79.6620053717904,79.2593976814894,0.2343755867047469,1,1.041446433938247,0.07669190896250658,32183.812898869368,223372.66423639443,1.0,False,1.0004633645045182e-05,0.43745932651910874,0.0,op_mission:main_route:initial_climb
15,3.0000000000000004,112.17859058119815,215.75563724828052,44565.609737049075,79.68788274346751,79.2593976814894,0.23446961402108987,1,1.0414359892871068,0.07669106973384116,32183.46071597664,223227.15641487655,1.0,False,1.0004411502834106e-05,0.43713157980072853,0.0,op_mission:main_route:initial_climb
